date,open,high,low,close,volume
2021-06-01,80500,81300,80100,80600,14058401
2021-06-02,80400,81400,80300,80800,16414644
2021-06-03,81300,83000,81100,82800,29546007
2021-06-04,82700,82700,81500,82200,18112259
2021-06-07,82700,82800,81600,81900,16496197
2021-06-08,82300,82600,81800,81900,12781226
2021-06-09,81500,82000,81100,81100,14908823
2021-06-10,81300,81400,80900,81000,17586995
2021-06-11,81200,81700,80700,81000,14087962
2021-06-14,80800,80900,80500,80500,10550078
2021-06-15,80900,81200,80600,80900,10075685
2021-06-16,81500,81900,81100,81800,14999855
2021-06-17,81100,81300,80700,80900,14007385
2021-06-18,81100,81100,80500,80500,14916721
2021-06-21,79700,80000,79600,79900,16063340
2021-06-22,80200,80300,79900,80000,11773365
2021-06-23,80500,80600,79900,80100,13856548
2021-06-24,80400,81400,80100,81200,18771080
2021-06-25,81500,81900,81200,81600,13481405
2021-06-28,81700,82000,81600,81900,11578529
2021-06-29,81900,82100,80800,81000,15744317
2021-06-30,81100,81400,80700,80700,13288643
2021-07-01,80500,80600,80000,80100,13382882
2021-07-02,80000,80400,79900,80000,8753097
2021-07-05,80100,80800,80000,80400,8330969
2021-07-06,80600,81200,80500,81200,12131651
2021-07-07,81200,81300,80300,80800,15992202
2021-07-08,81100,81200,79900,79900,16660998
2021-07-09,79600,79800,79000,79400,22720577
2021-07-12,79900,80000,79500,79700,9768108
2021-07-13,80000,80200,79800,79800,9863450
2021-07-14,79400,79600,79100,79500,11575636
2021-07-15,79800,80600,79500,80600,13766279
2021-07-16,80100,80100,79500,79800,10859399
2021-07-19,79100,79200,78800,79000,13155414
2021-07-20,78500,79000,78400,79000,12456646
2021-07-21,79000,79100,78500,78500,12355296
2021-07-22,79000,79800,78900,79700,12618790
2021-07-23,79700,79900,79200,79300,9098910
2021-07-26,79400,79500,78800,78800,10040975
2021-07-27,79200,79400,78500,78500,11427693
2021-07-28,78300,79200,78100,79200,12743417
2021-07-29,78800,79400,78800,79000,14360453
2021-07-30,78900,78900,78500,78500,13823411
2021-08-02,79200,79500,78700,79300,11739124
2021-08-03,79400,81400,79300,81400,24339360
2021-08-04,82200,83100,81800,82900,25642368
2021-08-05,83300,83300,82000,82100,18485469
2021-08-06,81900,82500,81300,81500,13342623
2021-08-09,81500,82300,80900,81500,15522581
2021-08-10,82300,82400,80100,80200,20362639
2021-08-11,79600,79800,78500,78500,30241137
2021-08-12,77100,78200,76900,77000,42365223
2021-08-13,75800,76000,74100,74400,61270643
2021-08-17,74000,75100,74000,74200,30944847
