date,open,high,low,close,volume
2020-01-02,26154,26221,25810,25856,5201565
2020-01-03,26090,26231,25719,25852,8619970
2020-01-06,25676,25749,25604,25657,6258208
2020-01-07,25828,26020,25766,25913,6009913
2020-01-08,25719,25887,25583,25749,6941148
2020-01-09,26105,26179,26011,26179,4966890
2020-01-10,26179,26415,26174,26395,11196426
2020-01-13,26395,26682,26377,26667,5820058
2020-01-14,26806,26975,26772,26792,6487557
2020-01-15,26733,26767,26594,26634,5304539
2020-01-16,26634,26916,26606,26907,7060997
2020-01-17,27045,27205,26911,26967,13049444
2020-01-20,27089,27325,27076,27173,6503729
2020-01-21,27151,27205,26837,26867,6538824
2020-01-22,26811,27251,26797,27224,6593361
2020-01-23,27050,27084,26846,26867,6099299
2020-01-28,26241,26377,25918,26052,8864309
2020-01-29,26164,26276,26011,26138,3223663
2020-01-30,26105,26164,25577,25648,8969163
2020-01-31,25818,25918,25374,25374,7076158
2020-02-03,25089,25490,24966,25400,8780132
2020-02-04,25405,25910,25383,25835,17531433
2020-02-05,26101,26164,25827,25965,9615381
2020-02-06,26244,26780,26204,26737,8372908
2020-02-07,26678,26678,26346,26515,6688979
2020-02-10,26209,26399,26101,26372,5509923
2020-02-11,26457,26793,26457,26626,8164202
2020-02-12,26599,26891,26525,26846,7169208
2020-02-13,26908,27068,26711,26780,8309045
2020-02-14,26733,27051,26607,26943,8336853
2020-02-17,26900,27042,26785,26922,5380978
2020-02-18,26726,26785,26457,26497,9012784
2020-02-19,26635,26687,26299,26546,8060937
2020-02-20,26716,26793,26249,26407,6400452
2020-02-21,26038,26266,25970,26028,9845961
2020-02-24,25590,25590,25031,25049,14103971
2020-02-25,25036,25334,24922,25326,14054156
2020-02-26,24957,25109,24776,24957,11011197
2020-02-27,24947,25026,24612,24698,14094288
2020-02-28,24338,24421,23854,23900,23385319
2020-03-02,24021,24276,23715,24130,15462618
2020-03-03,24672,24730,24121,24240,10171569
2020-03-04,24052,24830,24052,24790,6791960
2020-03-05,24939,25122,24726,25010,8270426
2020-03-06,24681,24781,24389,24509,10768368
2020-03-09,23734,23840,23317,23473,15438471
2020-03-10,23434,23682,23291,23610,24522569
2020-03-11,23569,23623,22807,22901,20358201
2020-03-12,22733,22777,21712,22135,29764893
2020-03-13,20415,22013,20269,21565,36625110
2020-03-16,21712,21948,20719,20780,43554190
2020-03-17,20020,20934,19863,20316,51243674
2020-03-18,20324,20476,19196,19196,30683415
2020-03-19,19631,19768,17530,17791,63787652
2020-03-20,18304,19159,17917,19159,43388272
2020-03-23,17781,18474,17745,18033,24363571
2020-03-24,18546,19707,18278,19707,20650793
2020-03-25,20297,20886,20023,20838,38350548
2020-03-26,20829,21140,20115,20431,17916116
2020-03-27,21297,21404,20227,20926,19839653
2020-03-30,20269,21018,20143,20802,17165490
2020-03-31,20934,21218,20780,21170,12798760
2020-04-01,20983,21223,20178,20178,20335486
2020-04-02,20284,20802,20002,20798,16132893
2020-04-03,20843,20979,20493,20743,16068391
2020-04-06,20951,21608,20930,21574,14664908
2020-04-07,21897,22143,21533,21908,14249172
2020-04-08,21796,22077,21589,21589,14911274
2020-04-09,21964,22001,21698,21931,21779936
2020-04-10,21888,22148,21821,22117,13139605
2020-04-13,22051,22051,21731,21741,31579887
2020-04-14,21922,22235,21848,22117,20567035
2020-04-16,21883,22156,21756,22117,11262593
2020-04-17,22570,22973,22547,22792,15605875
2020-04-20,22759,22836,22454,22516,11814604
2020-04-21,22405,22496,21897,22267,21065238
2020-04-22,21964,22547,21848,22459,22507446
2020-04-23,22602,22810,22463,22680,17960288
2020-04-24,22547,22598,22239,22342,6142538
2020-04-27,22419,22871,22384,22787,6476900
2020-04-28,22869,23003,22643,22922,9478955
2020-04-29,22949,23233,22880,23074,10580252
2020-05-04,22631,22688,22344,22375,17326112
2020-05-06,22792,22792,22453,22792,10469241
2020-05-07,22707,22898,22626,22736,8846728
2020-05-08,22885,23099,22885,22931,6765398
2020-05-11,22987,23134,22736,22769,6228867
2020-05-12,22795,22815,22408,22608,13444689
2020-05-13,22344,22866,22313,22866,9389276
2020-05-14,22656,22718,22491,22626,7300226
2020-05-15,22810,22810,22511,22678,8883872
2020-05-18,22795,22893,22599,22824,9001523
2020-05-19,23335,23468,23256,23415,6943713
2020-05-20,23321,23536,23302,23468,8321494
2020-05-21,23615,23652,23504,23574,7837786
2020-05-22,23574,23605,23070,23175,9302294
2020-05-25,23298,23468,23134,23463,8392585
2020-05-26,23500,23888,23486,23888,9118836
2020-05-27,23777,24028,23732,23901,10321183
2020-05-28,24076,24229,23693,23974,12007723
2020-05-29,23819,24086,23700,23929,8558551
2020-06-01,23986,24403,23986,24403,8142428
2020-06-02,24403,24699,24346,24658,9557294
2020-06-03,24871,25718,24871,25563,9856650
2020-06-04,25886,26167,25504,25592,14527433
2020-06-05,25531,26049,25451,26025,13175304
2020-06-08,26365,26487,25894,25986,13706678
2020-06-09,26177,26350,25727,26001,8628439
2020-06-10,25991,26186,25886,26082,6351719
2020-06-11,25871,26087,25372,25651,11739406
2020-06-12,24730,25188,24638,25126,15460615
2020-06-15,24846,25046,23863,23863,21157917
2020-06-16,24479,25328,24450,25328,14582502
2020-06-17,25271,25439,24842,25259,13807708
2020-06-18,25144,25294,24985,25185,9022533
2020-06-19,25427,25451,24851,25275,11169688
2020-06-22,25046,25316,25011,25097,7715898
2020-06-23,25303,25516,24918,25160,14509424
2020-06-24,25285,25723,25275,25574,10710615
2020-06-25,25193,25358,24929,24929,17832343
2020-06-26,25170,25404,25028,25280,18948025
2020-06-29,24967,25198,24783,24871,12392547
2020-06-30,25231,25409,25087,25087,9411662
2020-07-01,25367,25395,25028,25100,7533794
2020-07-02,25170,25418,25153,25418,5592971
2020-07-03,25516,25641,25381,25629,6366476
2020-07-06,25682,26082,25641,26025,9573370
2020-07-07,26167,26244,25692,25710,8570692
2020-07-08,25710,25824,25563,25633,8904645
2020-07-09,25761,25946,25727,25752,8531203
2020-07-10,25800,25820,25386,25504,8053343
