date,open,high,low,close,volume
2021-06-01,151500,153000,150000,151500,656695
2021-06-02,152000,153000,151000,151500,448035
2021-06-03,152000,156000,152000,154500,1156086
2021-06-04,153500,154500,152000,153500,558204
2021-06-07,155000,158000,154000,155000,988186
2021-06-08,155000,156000,152500,152500,633240
2021-06-09,153000,153500,150500,150500,561497
2021-06-10,151000,152000,149000,150000,954307
2021-06-11,151000,153000,150500,151500,413298
2021-06-14,152000,158500,151500,157500,1741300
2021-06-15,159000,160500,156500,158500,1021245
2021-06-16,157500,159000,156500,157500,674520
2021-06-17,156000,156500,153000,154500,1115514
2021-06-18,155000,158000,154500,157000,978143
2021-06-21,155000,163500,154500,160500,1975315
2021-06-22,163000,164500,159000,159000,1111298
2021-06-23,159500,162000,155500,157500,1185360
2021-06-24,158500,164500,156500,164000,2156462
2021-06-25,165500,167000,162000,163500,1132098
2021-06-28,165000,166000,160500,163500,946236
2021-06-29,164500,165000,160000,161000,903807
2021-06-30,162500,166000,162000,163500,1118470
2021-07-01,164000,164500,160500,162000,779316
2021-07-02,163500,166500,163000,163500,873575
2021-07-05,164500,167000,163500,167000,1045443
2021-07-06,168500,172000,166500,170000,1902339
2021-07-07,171000,171000,163500,165000,2371947
2021-07-08,165500,165500,160000,160000,1861927
2021-07-09,158000,161500,157000,159000,1408620
2021-07-12,160500,161000,158000,158500,781657
2021-07-13,158000,163500,157500,163500,1105815
2021-07-14,162000,162000,159000,161000,689838
2021-07-15,161000,162000,159500,161000,648066
2021-07-16,159500,161500,159500,160500,523298
2021-07-19,159000,159000,157000,157500,598680
2021-07-20,156500,163500,156000,162500,1343210
2021-07-21,163000,164500,161500,163000,829143
2021-07-22,163500,164500,162000,164000,806953
2021-07-23,164500,167500,164000,166500,1191816
2021-07-26,167500,168000,163000,163000,849316
2021-07-27,164500,164500,162000,163000,428806
2021-07-28,162500,165500,161000,164000,676883
2021-07-29,165500,167000,164000,166500,770794
2021-07-30,165000,165500,157500,157500,2178044
2021-08-02,157500,158500,155000,156500,809541
2021-08-03,157000,158000,155500,156500,716492
2021-08-04,158000,160500,157000,160000,691765
2021-08-05,159500,160000,158000,158000,560669
2021-08-06,158500,159000,156500,157000,413308
2021-08-09,157500,162000,157000,161000,1152308
2021-08-10,162000,162000,157000,157500,859174
2021-08-11,157500,158500,155500,156000,536980
2021-08-12,156000,157500,153000,153000,981866
2021-08-13,153500,154000,148000,150500,916837
2021-08-17,150500,153500,150000,151000,779899
2021-08-18,150500,154000,150000,153500,652995
2021-08-19,151500,153000,148000,148000,737444
2021-08-20,148500,150500,146000,146500,802093
2021-08-23,145500,146000,138000,140500,1780072
2021-08-24,141000,144500,138500,142000,1375732
2021-08-25,142500,144500,139500,142000,806947
2021-08-26,142000,145000,140500,141500,806681
2021-08-27,141000,141000,139000,140500,593281
2021-08-30,141500,142000,139000,139500,740133
2021-08-31,139500,142000,138000,142000,1035617
2021-09-01,143000,143000,140000,141000,758432
2021-09-02,140500,141000,139000,139500,667898
2021-09-03,142000,154500,140500,153500,4043334
2021-09-06,151000,151500,146500,148000,1611682
2021-09-07,149000,150500,147500,147500,757429
2021-09-08,146500,147000,143000,144000,1296091
2021-09-09,144000,145500,141500,141500,955728
2021-09-10,143000,151000,143000,146500,1851877
2021-09-13,144000,144500,141500,143000,808784
2021-09-14,143500,145000,142500,142500,573492
2021-09-15,143500,143500,140500,142000,763228
2021-09-16,142500,143500,140000,141000,639525
2021-09-17,140500,141000,139000,139500,799115
2021-09-23,138500,141000,136500,140500,1090853
2021-09-24,142000,142500,139000,139500,865310
2021-09-27,139000,139500,138000,138500,526452
2021-09-28,138000,138500,132500,132500,1667863
2021-09-29,129000,131000,128000,129500,1435656
2021-09-30,128500,129000,125000,127500,1505941
2021-10-01,125500,127500,124500,125500,1099392
2021-10-05,123000,125500,121000,123500,1158497
2021-10-06,125500,126000,119000,120000,1599552
2021-10-07,121000,125000,120000,124000,907601
2021-10-08,125000,125500,119000,120000,1407749
2021-10-12,121000,125500,119000,124000,1793542
2021-10-13,122500,123000,119500,122000,943291
2021-10-14,123500,125500,122500,123500,950533
2021-10-15,125000,127000,125000,126500,743492
2021-10-18,127500,127500,123500,123500,716291
2021-10-19,124500,127000,123500,126500,600501
2021-10-20,126500,127500,125000,125000,579159
2021-10-21,126000,127500,125000,125500,571147
2021-10-22,125000,126000,123000,125000,360096
2021-10-25,123500,126000,122500,124500,554539
2021-10-26,125000,126000,124500,125500,706443
2021-10-27,125500,126000,121500,122000,912547
2021-10-28,122000,124000,121000,122000,842870
2021-10-29,124000,129000,119500,120500,2301006
2021-11-01,121000,122000,119500,120500,761704
2021-11-02,121000,124500,120500,123000,915388
2021-11-03,123500,124000,121000,122000,503633
2021-11-04,124000,126000,122000,122500,769589
2021-11-05,123500,124500,121500,123000,470484
2021-11-08,123000,123500,120500,122500,478858
2021-11-09,123000,125000,122000,123000,497844
2021-11-10,122000,123000,119000,119500,707984
2021-11-11,119000,119500,115500,117500,1137785
2021-11-12,118000,122000,118000,122000,734937
2021-11-15,122500,125000,122500,124500,521720
2021-11-16,124500,125500,123000,124000,565313
2021-11-17,124500,125000,122000,123000,524897
2021-11-18,123500,124000,122000,122500,480336
2021-11-19,128000,137500,127500,133500,4928339
2021-11-22,133500,136000,131500,134000,1670033
2021-11-23,132500,133000,127000,128000,1329955
2021-11-24,127000,130000,126000,128500,988988
2021-11-25,128500,129000,125000,125500,675145
2021-11-26,125500,126500,121500,122000,872482
2021-11-29,118000,122000,118000,119500,933062
2021-11-30,120500,122000,115000,115500,1809765
2021-12-01,116500,120000,115500,120000,851165
2021-12-02,118000,122000,118000,122000,725845
2021-12-03,122000,123000,119000,122000,780951
2021-12-06,121500,125000,120500,124000,819472
2021-12-07,124000,126000,121500,125500,720765
2021-12-08,127500,128000,122500,123500,1043122
2021-12-09,122500,125000,122000,123000,1151051
2021-12-10,122000,126000,121500,126000,671405
2021-12-13,129500,135500,129000,134000,2612253
2021-12-14,132500,133500,128000,128500,1506380
2021-12-15,128500,130500,127000,129500,855372
2021-12-16,131500,132500,129000,130000,705254
2021-12-17,128000,131500,127500,129500,944383
2021-12-20,128500,129000,125500,125500,864094
2021-12-21,127000,131000,126500,130500,993693
2021-12-22,132000,132500,129000,129500,703187
2021-12-23,130500,139000,128500,137000,2564334
2021-12-24,137000,138000,134000,136500,1170212
2021-12-27,136500,140000,135500,138000,958151
2021-12-28,139000,139500,137000,138000,1186045
2021-12-29,138500,141500,138000,140500,1104635
